"ARK","CREATE_DATE","CREATED_BY","LAST_MODIFIED_DATE","LAST_MODIFIED_BY","PARENT_ARK","SEQUENCE","STATUS","TITLE","TYPE"
"21198/zz0008z7px",31-JAN-08,"dlp@lists.ucla.edu",05-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",115,"Completed","Interview of George B. Allison","Interview"
"21198/zz0008zfbn",31-JAN-08,"dlp@lists.ucla.edu",17-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",141,"Completed","Interview of Harwell Hamilton Harris","Interview"
"21198/zz0008zgvw",31-JAN-08,"dlp@lists.ucla.edu",27-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",277,"Completed","Interview of Raphael Soriano","Interview"
"21198/zz0008zzj0",31-JAN-08,"dlp@lists.ucla.edu",20-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",224,"Completed","Interview of Martha Deane","Interview"
"21198/zz0008z8cr",31-JAN-08,"dlp@lists.ucla.edu",17-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",206,"Completed","Interview of Louis Epstein","Interview"
"21198/zz0008zkbk",31-JAN-08,"dlp@lists.ucla.edu",05-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",71,"Completed","Interview of E. Maurice Bloch","Interview"
"21198/zz0008zqrq",31-JAN-08,"dlp@lists.ucla.edu",03-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",358,"Completed","Interview of William J. Fadiman","Interview"
"21198/zz0008zfwx",31-JAN-08,"dlp@lists.ucla.edu",10-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",319,"Completed","Interview of Samuel W. Yorty","Interview"
"21198/zz0008zvk2",31-JAN-08,"dlp@lists.ucla.edu",14-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",345,"Completed","Interview of Walter Millsap","Interview"
"21198/zz0008zkq8",31-JAN-08,"dlp@lists.ucla.edu",05-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",117,"Completed","Interview of George Gregory","Interview"
"21198/zz000906d5",31-JAN-08,"dlp@lists.ucla.edu",01-SEP-15,"nehodge@library.ucla.edu","21198/zz0008zh0f",24,"Completed","California Democratic Council","Series"
"21198/zz000906fp",31-JAN-08,"dlp@lists.ucla.edu",20-APR-20,"oralhistory@library.ucla.edu","21198/zz0008zh0f",49,"Completed","History of American Photography","Series"
"21198/zz000906j7",31-JAN-08,"dlp@lists.ucla.edu",04-NOV-20,"tbarnett@library.ucla.edu","21198/zz0008zh0f",59,"Completed","Los Angeles International Airport","Series"
"21198/zz000905zz",31-JAN-08,"dlp@lists.ucla.edu",06-MAR-18,"oralhistory@library.ucla.edu","21198/zz0008zh0f",30,"Completed","Central Avenue Sounds Oral History Project","Series"
"21198/zz0009054j",31-JAN-08,"dlp@lists.ucla.edu",28-JAN-21,"tbarnett@library.ucla.edu","21198/zz0008zh0f",84,"Completed with minimal metadata","Synanon Foundation Oral Histories","Series"
"21198/zz000905wx",31-JAN-08,"dlp@lists.ucla.edu",23-APR-20,"tbarnett@library.ucla.edu","21198/zz0008zh0f",50,"Completed","Hollywood Blacklist","Series"
"21198/zz000906cn",31-JAN-08,"dlp@lists.ucla.edu",04-MAY-22,"tbarnett@library.ucla.edu","21198/zz0008zh0f",7,"Completed","Allensworth Community","Series"
"21198/zz000905pt",31-JAN-08,"dlp@lists.ucla.edu",04-MAY-22,"tbarnett@library.ucla.edu","21198/zz0008zh0f",12,"Completed","Art History - Oral Documentation Project","Series"
"21198/zz000906hq",31-JAN-08,"dlp@lists.ucla.edu",04-NOV-20,"tbarnett@library.ucla.edu","21198/zz0008zh0f",55,"Completed","Irish Californians","Series"
"21198/zz0009060z",31-JAN-08,"dlp@lists.ucla.edu",01-SEP-15,"nehodge@library.ucla.edu","21198/zz0008zh0f",25,"Completed","California State Archives State Government Oral History Program","Series"
"21198/zz000905qb",31-JAN-08,"dlp@lists.ucla.edu",04-NOV-20,"tbarnett@library.ucla.edu","21198/zz0008zh0f",57,"Completed","Los Angeles Art Community - Group Portrait","Series"
"21198/zz00090641",31-JAN-08,"dlp@lists.ucla.edu",25-SEP-20,"oralhistory@library.ucla.edu","21198/zz0008zh0f",73,"Completed","Pasadena Playhouse Oral History Series","Series"
"21198/zz000904xz",31-JAN-08,"dlp@lists.ucla.edu",03-APR-08,"hollyw@library.ucla.edu","21198/zz0008zh0f",,"Completed","Z: Orphan Interviews pre 1999","Series"
"21198/zz000905k8",31-JAN-08,"dlp@lists.ucla.edu",04-MAY-22,"tbarnett@library.ucla.edu","21198/zz0008zh0f",3,"Completed","African American Architects of Los Angeles","Series"
"21198/zz000905ms",31-JAN-08,"dlp@lists.ucla.edu",20-APR-20,"oralhistory@library.ucla.edu","21198/zz0008zh0f",46,"Completed","Frank Lloyd Wright Oral History Program -Design Heritage Project","Series"
